year,position,player,clue
2010,FW,Didier Drogba,The Ivorian striker who captained the side
2010,FW,Diego Forlán,The Uruguayan forward who scored in the semi-final against Netherlands
2010,FW,Gonzalo Higuaín,The Argentine forward who scored a hat-trick
2010,FW,Harry Kewell,The Australian forward who was sent off
2010,FW,Luís Fabiano,The Brazilian forward who scored twice
2010,FW,Luis Suárez,The Uruguayan forward who was sent off
2010,FW,Miroslav Klose,The German striker who was sent off against Serbia
2010,FW,Nwankwo Kanu,The Nigerian forward who captained the side
2010,FW,Robinho,The Brazilian winger who scored in the quarter-final
2010,FW,Samuel Eto'o,The Cameroonian striker who captained the side
2010,FW,Thierry Henry,The French forward who captained the side
2010,GK,Claudio Bravo,The Chilean goalkeeper who captained the side
2010,GK,Iker Casillas,The Spanish goalkeeper who won the Golden Glove
2010,MF,Andrés Iniesta,The Spanish midfielder who scored in the final
2010,MF,Dejan Stankovic,The Serbian midfielder who captained the side
2010,MF,Giorgos Karagounis,The Greek central midfielder who captained the side
2010,MF,Javier Mascherano,The Argentine defensive midfielder who captained the side to the quarter-finals
2010,MF,Kaká,The Brazilian midfielder who was sent off
2010,MF,Marek Hamsik,The Slovak central midfielder who captained the side
2010,MF,Park Ji-sung,The South Korean attacking midfielder who captained the side
2010,MF,Steven Gerrard,The English central midfielder who captained the side
2010,MF,Sulley Muntari,The Ghanaian central midfielder who scored in the quarter-final against Uruguay
2010,MF,Thomas Müller,The German midfielder who won the Best Young Player award
2010,MF,Wesley Sneijder,The Dutch attacking midfielder who scored in the semi-final
2010,MF,Yoann Gourcuff,The French attacking midfielder who was sent off against South Africa
2014,DF,Darijo Srna,The Croatian right-back who captained the side
2014,DF,David Luiz,The Brazilian centre-back who scored twice against Chile
2014,DF,Diego Godín,The Uruguayan centre-back who captained the side
2014,DF,Dirk Kuyt,The Dutch winger who scored in the semi-final against Argentina
2014,DF,Ezequiel Garay,The Argentine centre-back who scored in the semi-final against Netherlands
2014,DF,Mats Hummels,The German centre-back who scored in the quarter-final
2014,DF,Maxi Pereira,The Uruguayan defender who was sent off against Costa Rica
2014,DF,Pepe,The Portuguese centre-back who was sent off against Germany
2014,DF,Philipp Lahm,The German right-back who captained the champions
2014,DF,Thiago Silva,The Brazilian centre-back who scored in the quarter-final
2014,DF,Vasili Berezutski,The Russian defender who captained the side
2014,DF,Vincent Kompany,The Belgian centre-back who captained the side to the quarter-finals
2014,FW,Ahmed Musa,The Nigerian winger who scored twice against Argentina
2014,FW,André Schürrle,The German winger who scored in the semi-final against Brazil
2014,FW,Ante Rebić,The Croatian winger who was sent off
2014,FW,Arjen Robben,The Dutch winger who scored in the semi-final
2014,FW,Clint Dempsey,The American forward who captained the side
2014,FW,Cristiano Ronaldo,The Portuguese forward who captained the side
2014,FW,Didier Drogba,The Ivorian striker who captained the side
2014,FW,Gonzalo Higuaín,The Argentine forward who scored in the quarter-final
2014,FW,Jackson Martínez,The Colombian striker who scored twice
2014,FW,Karim Benzema,The French striker who scored twice
2014,FW,Lionel Messi,The Argentine forward who won the Golden Ball
2014,FW,Luis Suárez,The Uruguayan forward who scored twice
2014,FW,Mario Mandzukic,The Croatian striker who scored twice against Cameroon
2014,FW,Miroslav Klose,The German striker who is the all-time top scorer at the World Cup
2014,FW,Neymar,The Brazilian forward who scored twice
2014,FW,Robin van Persie,The Dutch striker who scored twice
2014,FW,Samuel Eto'o,The Cameroonian striker who captained the side
2014,FW,Sergio Agüero,The Argentine forward who scored in the semi-final
2014,FW,Thomas Müller,The German forward who scored a hat-trick
2014,GK,Claudio Bravo,The Chilean goalkeeper who captained the side
2014,GK,Gianluigi Buffon,The Italian goalkeeper who captained the side
2014,GK,Hugo Lloris,The French goalkeeper who captained the side to the quarter-finals
2014,GK,Iker Casillas,The Spanish goalkeeper who captained the side
2014,GK,Manuel Neuer,The German goalkeeper who won the Golden Glove
2014,MF,Alex Song,The Cameroonian defensive midfielder who was sent off against Croatia
2014,MF,Antonio Valencia,The Ecuadorian right-back who was sent off against France
2014,MF,Claudio Marchisio,The Italian central midfielder who was sent off against Uruguay
2014,MF,Giorgos Karagounis,The Greek central midfielder who captained the side
2014,MF,Gökhan Inler,The Swiss defensive midfielder who captained the side
2014,MF,James Rodríguez,The Colombian midfielder who won the Golden Boot
2014,MF,Kostas Katsouranis,The Greek midfielder who was sent off against Japan
2014,MF,Mario Götze,The German attacking midfielder who scored in the final
2014,MF,Oscar,The Brazilian attacking midfielder who scored in the semi-final
2014,MF,Paul Pogba,The French midfielder who won the Best Young Player award
2014,MF,Sami Khedira,The German central midfielder who scored in the semi-final
2014,MF,Steven Gerrard,The English central midfielder who captained the side
2014,MF,Toni Kroos,The German midfielder who scored in the semi-final
2014,MF,Wesley Sneijder,The Dutch attacking midfielder who scored in the quarter-final
2014,MF,Wilson Palacios,The Honduran defensive midfielder who was sent off against France
2014,MF,Xherdan Shaqiri,The Swiss attacking midfielder who scored a hat-trick against Honduras
2018,DF,Aleksandar Kolarov,The Serbian left-back who captained the side
2018,DF,Diego Godín,The Uruguayan centre-back who captained the side to the quarter-finals
2018,DF,Edson Álvarez,The Mexican defensive midfielder who scored an own goal
2018,DF,Gerard Piqué,The Spanish centre-back who scored a penalty in the shootout
2018,DF,Harry Maguire,The English defender who scored in the quarter-final
2018,DF,Jérôme Boateng,The German centre-back who was sent off
2018,DF,John Stones,The English centre-back who scored twice
2018,DF,Kieran Trippier,The English right-back who scored in the semi-final
2018,DF,Medhi Benatia,The Moroccan centre-back who captained the side
2018,DF,Raphaël Varane,The French defender who scored in the quarter-final
2018,DF,Samuel Umtiti,The French defender who scored in the semi-final
2018,DF,Sergei Ignashevich,The Russian defender who scored an own goal
2018,DF,Sergio Ramos,The Spanish centre-back who scored a penalty in the shootout
2018,DF,Stephan Lichtsteiner,The Swiss right-back who captained the side
2018,DF,Thiago Silva,The Brazilian centre-back who captained the side to the quarter-finals
2018,FW,Ahmed Musa,The Nigerian winger who scored twice against Iceland
2018,FW,Andrej Kramaric,The Croatian attacking midfielder who scored in the quarter-final
2018,FW,Antoine Griezmann,The French forward who scored in the final
2018,FW,Cristiano Ronaldo,The Portuguese forward who scored a hat-trick
2018,FW,Diego Costa,The Spanish striker who scored twice
2018,FW,Eden Hazard,The Belgian forward who scored twice
2018,FW,Edinson Cavani,The Uruguayan striker who scored twice
2018,FW,Harry Kane,The English forward who won the Golden Boot
2018,FW,Ivan Perišić,The Croatian winger who scored in the final
2018,FW,Kylian Mbappé,The French forward who won the Best Young Player award
2018,FW,Lionel Messi,The Argentine forward who captained the side
2018,FW,Luis Muriel,The Colombian striker who scored a penalty in the shootout against England
2018,FW,Marcus Rashford,The English forward who scored a penalty in the shootout
2018,FW,Mario Mandzukic,The Croatian striker who scored in the final
2018,FW,Radamel Falcao,The Colombian striker who scored a penalty in the shootout
2018,FW,Robert Lewandowski,The Polish forward who captained the side
2018,FW,Romelu Lukaku,The Belgian forward who scored twice
2018,GK,Hugo Lloris,The French goalkeeper who captained the champions
2018,GK,Igor Akinfeev,The Russian goalkeeper who saved a penalty in the shootout against Spain
2018,GK,Jordan Pickford,The English goalkeeper who saved a penalty in the shootout
2018,GK,Manuel Neuer,The German goalkeeper who captained the side
2018,GK,Thibaut Courtois,The Belgian goalkeeper who won the Golden Glove
2018,MF,Alan Dzagoev,The Russian central midfielder who scored in the quarter-final against Croatia
2018,MF,Aleksandr Golovin,The Russian attacking midfielder who scored a penalty in the shootout against Spain
2018,MF,Andrés Iniesta,The Spanish midfielder who scored a penalty in the shootout
2018,MF,Dele Alli,The English midfielder who scored in the quarter-final
2018,MF,Eric Dier,The English centre-back who scored a penalty in the shootout
2018,MF,Fernandinho,The Brazilian defensive midfielder who scored an own goal against Belgium
2018,MF,Ivan Rakitic,The Croatian midfielder who scored in the quarter-final
2018,MF,Juan Cuadrado,The Colombian right midfielder who scored a penalty in the shootout against England
2018,MF,Kevin De Bruyne,The Belgian midfielder who scored in the quarter-final
2018,MF,Luka Modrić,The Croatian central midfielder who won the Golden Ball
2018,MF,Marcelo Brozović,The Croatian defensive midfielder who scored in the quarter-final
2018,MF,Paul Pogba,The French midfielder who scored in the final
2018,MF,Renato Augusto,The Brazilian central midfielder who scored in the quarter-final against Belgium
2022,DF,Achraf Hakimi,The Moroccan defender who scored a penalty in the shootout
2022,DF,Denzel Dumfries,The Dutch right-back who was sent off
2022,DF,Diego Godín,The Uruguayan centre-back who captained the side
2022,DF,Gonzalo Montiel,The Argentine right-back who scored in the final
2022,DF,Kalidou Koulibaly,The Senegalese defender who captained the side
2022,DF,Nahuel Molina,The Argentine right-back who scored in the quarter-final
2022,DF,Nayef Aguerd,The Moroccan centre-back who scored an own goal
2022,DF,Theo Hernández,The French left-back who scored in the semi-final
2022,DF,Thiago Silva,The Brazilian centre-back who captained the side to the quarter-finals
2022,DF,Virgil van Dijk,The Dutch defender who captained the side to the quarter-finals
2022,FW,André Ayew,The Ghanaian striker who captained the side
2022,FW,Andrej Kramaric,The Croatian attacking midfielder who scored twice
2022,FW,Ángel Di María,The Argentine winger who scored in the final
2022,FW,Bukayo Saka,The English forward who scored twice
2022,FW,Cristiano Ronaldo,The Portuguese forward who captained the side to the quarter-finals
2022,FW,Dušan Tadić,The Serbian winger who captained the side
2022,FW,Eden Hazard,The Belgian forward who captained the side
2022,FW,Ferran Torres,The Spanish striker who scored twice
2022,FW,Gareth Bale,The Welsh forward who captained the side
2022,FW,Gonçalo Ramos,The Portuguese striker who scored a hat-trick
2022,FW,Harry Kane,The English forward who scored in the quarter-final
2022,FW,Julián Alvarez,The Argentine forward who scored in the semi-final
2022,FW,Kai Havertz,The German forward who scored twice
2022,FW,Kylian Mbappé,The French forward who won the Golden Boot
2022,FW,Lautaro Martínez,The Argentine forward who scored in the quarter-final
2022,FW,Lionel Messi,The Argentine forward with the most World Cup appearances
2022,FW,Marcus Rashford,The English forward who scored twice
2022,FW,Mehdi Taremi,The Iranian striker who scored twice against England
2022,FW,Neymar,The Brazilian forward who scored in the quarter-final
2022,FW,Olivier Giroud,The French striker who scored twice against Australia
2022,FW,Paulo Dybala,The Argentine forward who scored in the final
2022,FW,Pedro,The Brazilian striker who scored in the quarter-final against Croatia
2022,FW,Randal Kolo Muani,The French forward who scored in the final
2022,FW,Richarlison,The Brazilian striker who scored twice
2022,FW,Robert Lewandowski,The Polish forward who captained the side
2022,FW,Vincent Aboubakar,The Cameroonian striker who was sent off against Brazil
2022,FW,Wout Weghorst,The Dutch striker who scored a hat-trick against Argentina
2022,FW,Youssef En-Nesyri,The Moroccan striker who scored in the quarter-final
2022,GK,Dominik Livakovic,The Croatian goalkeeper who saved a penalty in the shootout against Japan
2022,GK,Emiliano Martínez,The Argentine goalkeeper who won the Golden Glove
2022,GK,Hugo Lloris,The French goalkeeper who captained the runners-up
2022,GK,Manuel Neuer,The German goalkeeper who scored an own goal
2022,GK,Unai Simón,The Spanish goalkeeper who saved a penalty in the shootout against Morocco
2022,GK,Yassine Bounou,The Moroccan goalkeeper who saved a penalty in the shootout against Spain
2022,MF,Aurélien Tchouaméni,The French midfielder who scored in the quarter-final
2022,MF,Bruno Fernandes,The Portuguese midfielder who scored twice
2022,MF,Casemiro,The Brazilian midfielder who scored in the quarter-final
2022,MF,Enzo Fernández,The Argentine midfielder who won the Best Young Player award
2022,MF,Granit Xhaka,The Swiss defensive midfielder who captained the side
2022,MF,Hakim Ziyech,The Moroccan winger who scored a penalty in the shootout
2022,MF,Leandro Paredes,The Argentine defensive midfielder who scored in the final
2022,MF,Lovro Majer,The Croatian attacking midfielder who scored in the quarter-final against Brazil
2022,MF,Luka Modrić,The Croatian central midfielder who scored in the quarter-final
2022,MF,Marcelo Brozović,The Croatian defensive midfielder who scored a penalty in the shootout
2022,MF,Mario Pašalić,The Croatian central midfielder who scored a penalty in the shootout against Japan
2022,MF,Mohammed Kudus,The Ghanaian winger who scored twice
2022,MF,Nikola Vlašić,The Croatian attacking midfielder who scored in the quarter-final against Brazil
2022,MF,Sergio Busquets,The Spanish midfielder who captained the side
2022,MF,Teun Koopmeiners,The Dutch defensive midfielder who scored in the quarter-final
2022,MF,Tyler Adams,The American defensive midfielder who captained the side
